Epoch,Time_s,Train_Loss,Val_InDist_RMSE,Val_OOD_RMSE,Bicubic_InDist,Bicubic_OOD
54,20.2,0.304229,0.0437,0.0884,0.0734,0.1032
55,20.1,0.301720,0.0436,0.0885,0.0734,0.1032
56,20.1,0.304184,0.0435,0.0886,0.0734,0.1032
57,20.1,0.302127,0.0435,0.0886,0.0734,0.1032
58,20.5,0.303835,0.0436,0.0884,0.0734,0.1032
59,20.5,0.303537,0.0437,0.0883,0.0734,0.1032
60,20.3,0.302351,0.0437,0.0883,0.0734,0.1032
61,20.7,0.301907,0.0436,0.0884,0.0734,0.1032
62,20.3,0.302831,0.0437,0.0884,0.0734,0.1032
63,20.6,0.303469,0.0438,0.0884,0.0734,0.1032
64,20.5,0.299656,0.0441,0.0884,0.0734,0.1032
65,20.3,0.301093,0.0439,0.0884,0.0734,0.1032
66,20.2,0.300934,0.0437,0.0883,0.0734,0.1032
67,19.9,0.302852,0.0438,0.0883,0.0734,0.1032
68,20.3,0.304193,0.0440,0.0883,0.0734,0.1032
69,20.4,0.302162,0.0439,0.0882,0.0734,0.1032
70,20.5,0.300065,0.0435,0.0882,0.0734,0.1032
71,20.4,0.301314,0.0436,0.0882,0.0734,0.1032
72,21.5,0.303182,0.0432,0.0883,0.0734,0.1032
73,20.2,0.301393,0.0433,0.0883,0.0734,0.1032
74,20.3,0.300830,0.0435,0.0883,0.0734,0.1032
75,20.6,0.300959,0.0433,0.0884,0.0734,0.1032
76,20.2,0.302400,0.0435,0.0883,0.0734,0.1032
77,20.8,0.299730,0.0436,0.0883,0.0734,0.1032
78,21.9,0.297684,0.0436,0.0884,0.0734,0.1032
79,20.4,0.299845,0.0434,0.0884,0.0734,0.1032
80,20.4,0.300241,0.0434,0.0884,0.0734,0.1032
81,20.8,0.301493,0.0434,0.0884,0.0734,0.1032
82,20.7,0.301011,0.0435,0.0883,0.0734,0.1032
83,20.6,0.302973,0.0433,0.0883,0.0734,0.1032
84,20.6,0.299386,0.0431,0.0883,0.0734,0.1032
85,20.5,0.296464,0.0430,0.0884,0.0734,0.1032
86,22.5,0.300302,0.0431,0.0883,0.0734,0.1032
87,19.9,0.298889,0.0431,0.0883,0.0734,0.1032
88,19.7,0.301190,0.0434,0.0882,0.0734,0.1032
89,19.6,0.296212,0.0432,0.0883,0.0734,0.1032
90,19.6,0.298339,0.0434,0.0882,0.0734,0.1032
91,19.5,0.299398,0.0434,0.0882,0.0734,0.1032
92,19.6,0.299201,0.0437,0.0883,0.0734,0.1032
93,19.7,0.299121,0.0436,0.0882,0.0734,0.1032
94,19.5,0.299393,0.0434,0.0882,0.0734,0.1032
95,19.7,0.300020,0.0438,0.0884,0.0734,0.1032
96,19.7,0.299270,0.0433,0.0882,0.0734,0.1032
97,20.1,0.298499,0.0432,0.0882,0.0734,0.1032
98,19.6,0.296197,0.0432,0.0882,0.0734,0.1032
99,19.5,0.298424,0.0435,0.0882,0.0734,0.1032
100,20.1,0.298057,0.0435,0.0882,0.0734,0.1032
101,19.5,0.298178,0.0435,0.0882,0.0734,0.1032
102,19.6,0.298056,0.0436,0.0883,0.0734,0.1032
103,19.7,0.299152,0.0435,0.0882,0.0734,0.1032
104,19.8,0.295989,0.0435,0.0883,0.0734,0.1032
105,19.7,0.295764,0.0436,0.0883,0.0734,0.1032
106,19.9,0.296963,0.0433,0.0883,0.0734,0.1032
107,20.0,0.297256,0.0435,0.0884,0.0734,0.1032
108,20.1,0.296669,0.0434,0.0884,0.0734,0.1032
109,20.1,0.297964,0.0432,0.0884,0.0734,0.1032
110,20.2,0.296522,0.0434,0.0884,0.0734,0.1032
111,20.2,0.298777,0.0433,0.0884,0.0734,0.1032
112,20.6,0.296252,0.0435,0.0884,0.0734,0.1032
113,20.9,0.298715,0.0434,0.0884,0.0734,0.1032
114,21.8,0.296854,0.0436,0.0884,0.0734,0.1032
115,21.2,0.298451,0.0439,0.0885,0.0734,0.1032
116,20.6,0.295637,0.0440,0.0885,0.0734,0.1032
117,20.2,0.299094,0.0439,0.0885,0.0734,0.1032
118,19.5,0.295772,0.0439,0.0885,0.0734,0.1032
119,19.8,0.296622,0.0436,0.0883,0.0734,0.1032
120,19.9,0.296618,0.0436,0.0883,0.0734,0.1032
121,19.6,0.295473,0.0439,0.0884,0.0734,0.1032
122,19.7,0.296745,0.0440,0.0884,0.0734,0.1032
123,19.7,0.297445,0.0439,0.0883,0.0734,0.1032
124,19.7,0.295700,0.0436,0.0883,0.0734,0.1032
125,19.6,0.297162,0.0435,0.0883,0.0734,0.1032
126,19.7,0.296739,0.0436,0.0884,0.0734,0.1032
127,19.8,0.296688,0.0435,0.0883,0.0734,0.1032
128,19.8,0.295923,0.0435,0.0882,0.0734,0.1032
129,20.0,0.297117,0.0434,0.0882,0.0734,0.1032
130,19.5,0.295983,0.0433,0.0882,0.0734,0.1032
131,19.5,0.297981,0.0432,0.0882,0.0734,0.1032
132,19.4,0.297792,0.0431,0.0881,0.0734,0.1032
133,19.5,0.296905,0.0432,0.0882,0.0734,0.1032
134,19.5,0.296933,0.0432,0.0882,0.0734,0.1032
135,19.9,0.295402,0.0433,0.0882,0.0734,0.1032
136,19.9,0.294950,0.0433,0.0882,0.0734,0.1032
137,20.0,0.295432,0.0432,0.0882,0.0734,0.1032
138,19.7,0.295066,0.0431,0.0882,0.0734,0.1032
139,19.8,0.295135,0.0431,0.0882,0.0734,0.1032
140,19.8,0.295771,0.0432,0.0882,0.0734,0.1032
141,20.1,0.295785,0.0431,0.0882,0.0734,0.1032
142,19.9,0.297457,0.0432,0.0882,0.0734,0.1032
143,21.9,0.296143,0.0431,0.0882,0.0734,0.1032
144,20.2,0.294978,0.0431,0.0882,0.0734,0.1032
145,20.0,0.295804,0.0431,0.0882,0.0734,0.1032
146,20.1,0.294071,0.0433,0.0882,0.0734,0.1032
147,19.9,0.296154,0.0433,0.0882,0.0734,0.1032
148,19.7,0.295744,0.0434,0.0882,0.0734,0.1032
149,19.6,0.297015,0.0434,0.0882,0.0734,0.1032
150,19.4,0.296955,0.0434,0.0882,0.0734,0.1032
151,19.3,0.295852,0.0434,0.0883,0.0734,0.1032
152,19.4,0.295609,0.0435,0.0883,0.0734,0.1032
153,19.5,0.297739,0.0434,0.0883,0.0734,0.1032
154,19.4,0.293983,0.0435,0.0883,0.0734,0.1032
155,19.6,0.295304,0.0434,0.0883,0.0734,0.1032
156,19.6,0.295570,0.0434,0.0883,0.0734,0.1032
157,21.6,0.295314,0.0434,0.0883,0.0734,0.1032
158,19.8,0.295847,0.0435,0.0883,0.0734,0.1032
159,19.6,0.295139,0.0434,0.0882,0.0734,0.1032
160,19.6,0.293801,0.0434,0.0882,0.0734,0.1032
161,20.0,0.296199,0.0434,0.0882,0.0734,0.1032
162,19.7,0.295822,0.0434,0.0883,0.0734,0.1032
163,19.9,0.296515,0.0434,0.0883,0.0734,0.1032
164,19.9,0.296584,0.0435,0.0883,0.0734,0.1032
165,20.0,0.296599,0.0433,0.0882,0.0734,0.1032
166,19.9,0.295085,0.0433,0.0882,0.0734,0.1032
167,19.9,0.295530,0.0434,0.0882,0.0734,0.1032
168,20.0,0.293618,0.0434,0.0882,0.0734,0.1032
169,20.2,0.294724,0.0434,0.0882,0.0734,0.1032
170,19.9,0.296362,0.0434,0.0882,0.0734,0.1032
171,22.1,0.295712,0.0433,0.0882,0.0734,0.1032
172,20.9,0.293555,0.0433,0.0882,0.0734,0.1032
173,20.5,0.293226,0.0433,0.0882,0.0734,0.1032
174,20.5,0.293755,0.0433,0.0882,0.0734,0.1032
175,19.9,0.295757,0.0434,0.0882,0.0734,0.1032
176,19.7,0.294205,0.0433,0.0882,0.0734,0.1032
177,19.6,0.295008,0.0433,0.0882,0.0734,0.1032
178,19.9,0.294873,0.0433,0.0882,0.0734,0.1032
179,19.8,0.295754,0.0433,0.0882,0.0734,0.1032
180,19.8,0.293529,0.0433,0.0882,0.0734,0.1032
181,19.9,0.294581,0.0433,0.0882,0.0734,0.1032
182,19.8,0.295193,0.0433,0.0882,0.0734,0.1032
183,19.6,0.292848,0.0433,0.0882,0.0734,0.1032
184,19.6,0.293553,0.0433,0.0882,0.0734,0.1032
185,19.6,0.292212,0.0433,0.0883,0.0734,0.1032
186,20.1,0.292805,0.0433,0.0882,0.0734,0.1032
187,19.8,0.292939,0.0433,0.0882,0.0734,0.1032
188,20.0,0.291244,0.0434,0.0883,0.0734,0.1032
189,19.7,0.292787,0.0433,0.0883,0.0734,0.1032
190,20.2,0.294425,0.0433,0.0882,0.0734,0.1032
191,20.4,0.293948,0.0433,0.0882,0.0734,0.1032
192,20.4,0.296067,0.0433,0.0882,0.0734,0.1032
193,20.2,0.297105,0.0433,0.0883,0.0734,0.1032
194,19.9,0.292803,0.0433,0.0883,0.0734,0.1032
195,20.3,0.293556,0.0434,0.0883,0.0734,0.1032
196,20.0,0.295807,0.0434,0.0883,0.0734,0.1032
197,20.1,0.294345,0.0434,0.0883,0.0734,0.1032
198,20.7,0.293757,0.0434,0.0883,0.0734,0.1032
199,20.5,0.293803,0.0434,0.0883,0.0734,0.1032
200,21.6,0.294661,0.0434,0.0883,0.0734,0.1032
